id,title,amount_granted,amount_sought,init_year,period,gender,age,position,inst1_id,inst2_id,inst1_dirty,inst2_dirty,funder1_id,funder2_id,person_id,kw1,kw2,full_name,last_name,first_name,prob_inst_id,institution_name,funder_name,type,gender_new
39,inhalationer til kol patienter,315272,0,2012,0,0,-1,"",63,12,"aalborg sygehus, Århus univers",NULL,28,0,4829,"","",laursen; birgitte schantz,laursen,birgitte schantz,0,aalborg-hosp,trygfonden,Andet,0
41,74. analyse af den kliniske betydning af et nyt kemosensitivitets indeks: en retrospektiv analyse af nmsg studium #9/99.,151700,0,2007,12,0,-1,"",63,1,Ålborg sygehus,NULL,13,0,1577,"","",dahlgaard; jesper ovesen,dahlgaard,jesper ovesen,0,aalborg-hosp,kræftens bekæmpelse,Projekt,1
42,108. ny prognostisk evaluering og intervention ved monoklonal gammopati af ukendt betydning.,2400000,0,2007,36,0,-1,"",63,1,Ålborg sygehus,NULL,13,0,3890,"","",johnsen; hans erik,johnsen,hans erik,0,aalborg-hosp,kræftens bekæmpelse,Projekt,1
43,kvantitativ elektro-encefalografi (qeeg) undersøgelse og cerebrospinalvæske (csf) markører til vurdering af sygdomsprogres-sion og diagnose ved udredning af demens,1585178,0,2011,0,0,-1,"",63,1,sygehus nord,NULL,32,0,5939,"","",nielsen; malene schjonning,nielsen,malene schjonning,0,aalborg-hosp,velux fonden,Projekt,0
44,fysisk inaktivitet og motions rolle ved aldersrelateret makula degeneration,120000,0,2011,0,0,-1,"",63,1,sygehus nord,NULL,10,0,7920,"","",sorensen; torben lykke,sorensen,torben lykke,0,aalborg-hosp,lundbeck fonden,Projekt,1
45,social pejling for børn,577160,0,2008,0,0,-1,"",58,1,Århus kommune - børn og unge,NULL,28,0,604,"","",beck; annie,beck,annie,0,aarhus-kommune,trygfonden,Projekt,0
46,starter parkinsons sygdom i gastrointestinale nerveender mange år før symptom debut?,146402,0,2014,0,0,-1,"",12,1,aarhus sygehus,NULL,6,11,970,"","",borghammer; per,borghammer,per,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
47,"dynamics of acth, cortisol and inflammatory cytokines in critically ill patients",526882,0,2011,0,0,-1,"",12,1,aarhus sygehus,NULL,6,11,2915,"","",hansen; troels krarup,hansen,troels krarup,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
48,a prospective study of ultrasound of the ulnar nerve at and below the elbow in patients with compression neuropathies- correlation with the electrophysiological measurements,154031,0,2012,0,0,-1,"",12,1,"aarhus sygehus, klinisk neurofysiologisk afdeling",NULL,6,11,2306,"","",fuglsang-frederiksen; anders,fuglsang-frederiksen,anders,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
49,effects of resveratrol on non-alcoholic fatty liver disease - translational studies,2057876,0,2011,0,0,-1,"",12,1,"aarhus sygehus, medicinsk afdeling",NULL,6,11,2562,"","",gronbak; henning,gronbak,henning,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
